No,Code,Company Name,Listing Date,Shares,Listing Board
314,FREN,Smartfren Telecom Tbk.,29 Nov 2006,"476,703,803,016",Watchlist
315,FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,"1,300,000,000",Development
316,FUTR,Lini Imaji Kreasi Ekosistem Tb,27 Feb 2023,"6,390,020,413",Watchlist
317,FWCT,Wijaya Cahaya Timber Tbk.,01 Feb 2023,"1,875,000,000",Development
318,GAMA,Aksara Global Development Tbk.,11 Jul 2012,"10,011,027,656",Watchlist
319,GDST,Gunawan Dianjaya Steel Tbk.,23 Dec 2009,"9,242,500,000",Development
320,GDYR,Goodyear Indonesia Tbk.,22 Dec 1980,"410,000,000",Development
321,GEMA,Gema Grahasarana Tbk.,12 Agt 2002,"1,600,000,000",Development
322,GEMS,Golden Energy Mines Tbk.,17 Nov 2011,"5,882,353,000",Main
323,GGRM,Gudang Garam Tbk.,27 Agt 1990,"1,924,088,000",Main
324,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,"12,111,376,157",Watchlist
325,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,"550,000,000",Development
326,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,"91,480,783,837",Watchlist
327,GJTL,Gajah Tunggal Tbk.,08 May 1990,"3,484,800,000",Main
328,GLOB,Globe Kita Terang Tbk.,10 Jul 2012,"1,111,112,000",Watchlist
329,GLVA,Galva Technologies Tbk.,23 Dec 2019,"1,500,000,000",Development
330,GMFI,Garuda Maintenance Facility Ae,10 Oct 2017,"28,233,511,500",Watchlist
331,GMTD,Gowa Makassar Tourism Developm,11 Dec 2000,"1,015,380,000",Development
332,GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,"1,277,276,000",Development
333,GOLF,Intra Golflink Resorts Tbk.,08 Jul 2024,"19,486,760,000",Main
334,GOLL,Golden Plantation Tbk.,23 Dec 2014,"3,665,000,759",Watchlist
335,GOOD,Garudafood Putra Putri Jaya Tb,10 Oct 2018,"36,897,901,455",Main
336,GOTO,GoTo Gojek Tokopedia Tbk.,11 Apr 2022,"1,201,409,662,836",Ekonomi Baru
337,GPRA,Perdana Gapuraprima Tbk.,10 Oct 2007,"4,276,655,336",Development
338,GPSO,Geoprima Solusi Tbk.,06 Sep 2021,"666,741,103",Development
339,GRIA,Ingria Pratama Capitalindo Tbk,08 Agt 2023,"7,375,720,674",Development
340,GRPH,Griptha Putra Persada Tbk.,17 Jan 2024,"1,000,000,000",Development
341,GRPM,Graha Prima Mentari Tbk.,10 Jul 2023,"1,545,005,059",Acceleration
342,GSMF,Equity Development Investment ,23 Oct 1989,"14,230,399,705",Development
343,GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,"2,500,000,000",Development
344,GTRA,Grahaprima Suksesmandiri Tbk.,30 Mar 2023,"1,894,375,000",Development
345,GTSI,GTS Internasional Tbk.,08 Sep 2021,"15,819,142,767",Watchlist
346,GULA,Aman Agrindo Tbk.,03 Agt 2022,"1,070,362,500",Development
347,GUNA,Gunanusa Eramandiri Tbk.,09 Jul 2024,"2,500,000,000",Development
348,GWSA,Greenwood Sejahtera Tbk.,23 Dec 2011,"7,800,760,000",Main
349,GZCO,Gozco Plantations Tbk.,15 May 2008,"6,000,000,000",Development
350,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,"2,120,000,000",Watchlist
351,HAIS,Hasnur Internasional Shipping ,01 Sep 2021,"2,626,250,000",Development
352,HAJJ,Arsy Buana Travelindo Tbk.,05 Apr 2023,"2,290,522,094",Acceleration
353,HALO,Haloni Jane Tbk.,08 Feb 2023,"5,650,011,235",Development
354,HATM,Habco Trans Maritima Tbk.,26 Jul 2022,"7,000,000,000",Main
355,HBAT,Minahasa Membangun Hebat Tbk.,07 Agt 2023,"1,040,740,800",Acceleration
356,HDFA,Radana Bhaskara Finance Tbk.,10 May 2011,"6,542,445,783",Development
357,HDIT,Hensel Davest Indonesia Tbk.,12 Jul 2019,"1,524,680,000",Watchlist
358,HDTX,Panasia Indo Resources Tbk.,06 Jun 1990,"3,601,462,800",Watchlist
359,HEAL,Medikaloka Hermina Tbk.,16 May 2018,"15,365,950,000",Main
360,HELI,Jaya Trishindo Tbk.,27 Mar 2018,"832,862,387",Development
361,HERO,Hero Supermarket Tbk.,21 Agt 1989,"4,183,634,000",Development
362,HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,"840,000,000",Main
363,HILL,Hillcon Tbk.,01 Mar 2023,"2,948,300,000",Main
364,HITS,Humpuss Intermoda Transportasi,15 Dec 1997,"7,101,084,801",Main
365,HKMU,HK Metals Utama Tbk.,09 Oct 2018,"3,221,750,000",Watchlist
366,HMSP,H.M. Sampoerna Tbk.,15 Agt 1990,"116,318,076,900",Development
367,HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,"9,677,752,680",Main
368,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,"22,212,194,782",Watchlist
369,HOMI,Grand House Mulia Tbk.,10 Sep 2020,"1,575,000,000",Development
370,HOPE,Harapan Duta Pertiwi Tbk.,24 May 2021,"2,130,360,203",Watchlist
371,HOTL,Saraswati Griya Lestari Tbk.,10 Jan 2013,"3,550,001,452",Watchlist
372,HRME,Menteng Heritage Realty Tbk.,12 Apr 2019,"5,958,750,000",Watchlist
373,HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,"4,605,262,400",Main
374,HRUM,Harum Energy Tbk.,06 Oct 2010,"13,518,100,000",Main
375,HUMI,Humpuss Maritim Internasional ,09 Agt 2023,"18,046,488,159",Main
376,HYGN,Ecocare Indo Pasifik Tbk.,13 Feb 2024,"2,525,000,000",Development
377,IATA,MNC Energy Investments Tbk.,13 Sep 2006,"25,238,245,448",Watchlist
378,IBFN,Intan Baru Prana Tbk.,22 Dec 2014,"1,517,332,349",Watchlist
379,IBOS,Indo Boga Sukses Tbk.,25 Apr 2022,"8,065,789,529",Acceleration
380,IBST,Inti Bangun Sejahtera Tbk.,31 Agt 2012,"1,350,904,927",Watchlist
381,ICBP,Indofood CBP Sukses Makmur Tbk,07 Oct 2010,"11,661,908,000",Main
382,ICON,Island Concepts Indonesia Tbk.,08 Jul 2005,"1,089,750,000",Watchlist
383,IDEA,Idea Indonesia Akademi Tbk.,09 Sep 2021,"1,062,437,500",Acceleration
384,IDPR,Indonesia Pondasi Raya Tbk.,10 Dec 2015,"2,003,000,000",Development
385,IFII,Indonesia Fibreboard Industry ,10 Dec 2019,"9,412,000,000",Development
386,IFSH,Ifishdeco Tbk.,05 Dec 2019,"2,125,000,000",Development
387,IGAR,Champion Pacific Indonesia Tbk,05 Nov 1990,"972,204,500",Development
388,IIKP,Inti Agri Resources Tbk,14 Oct 2002,"33,600,000,000",Watchlist
389,IKAI,Intikeramik Alamasri Industri ,04 Jun 1997,"13,305,799,387",Watchlist
390,IKAN,Era Mandiri Cemerlang Tbk.,12 Feb 2020,"833,333,000",Watchlist
391,IKBI,Sumi Indo Kabel Tbk.,21 Jan 1991,"1,224,000,000",Development
392,IKPM,Ikapharmindo Putramas Tbk.,08 Nov 2023,"1,684,662,500",Development
393,IMAS,Indomobil Sukses Internasional,15 Nov 1993,"3,994,291,039",Main
394,IMJS,Indomobil Multi Jasa Tbk.,10 Dec 2013,"8,654,325,000",Development
395,IMPC,Impack Pratama Industri Tbk.,17 Dec 2014,"54,268,500,000",Main
396,INAF,Indofarma Tbk.,17 Apr 2001,"3,099,267,500",Watchlist
397,INAI,Indal Aluminium Industry Tbk.,05 Dec 1994,"633,600,000",Development
398,INCF,Indo Komoditi Korpora Tbk.,06 Sep 2016,"1,438,370,465",Watchlist
399,INCI,Intanwijaya Internasional Tbk,24 Jul 1990,"207,656,617",Development
400,INCO,Vale Indonesia Tbk.,16 May 1990,"10,539,784,534",Main
401,INDF,Indofood Sukses Makmur Tbk.,14 Jul 1994,"8,780,426,500",Main
402,INDO,Royalindo Investa Wijaya Tbk.,13 Jan 2020,"4,382,844,253",Development
403,INDR,Indo-Rama Synthetics Tbk.,03 Agt 1990,"654,351,707",Development
404,INDS,Indospring Tbk.,10 Agt 1990,"6,562,497,100",Development
405,INDX,Tanah Laut Tbk,17 May 2001,"437,913,588",Development
406,INDY,Indika Energy Tbk.,11 Jun 2008,"5,210,192,000",Main
407,INET,Sinergi Inti Andalan Prima Tbk,24 Jul 2023,"7,500,042,850",Development
408,INKP,Indah Kiat Pulp & Paper Tbk.,16 Jul 1990,"5,470,982,941",Main
409,INOV,Inocycle Technology Group Tbk.,10 Jul 2019,"1,808,221,900",Development
410,INPC,Bank Artha Graha Internasional,23 Agt 1990,"20,021,178,779",Main
411,INPP,Indonesian Paradise Property T,12 Jan 2004,"11,181,971,732",Development
412,INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,"650,000,000",Development
413,INRU,Toba Pulp Lestari Tbk.,18 Jun 1990,"1,388,883,283",Development
414,INTA,Intraco Penta Tbk.,23 Agt 1993,"3,343,935,022",Watchlist
415,INTD,Inter Delta Tbk,18 Dec 1989,"591,828,000",Development
416,INTP,Indocement Tunggal Prakarsa Tb,05 Dec 1989,"3,681,231,699",Main
417,IOTF,Sumber Sinergi Makmur Tbk.,06 Oct 2023,"5,287,342,933",Development
418,IPAC,Era Graharealty Tbk.,30 Jun 2021,"949,868,500",Acceleration
419,IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,"1,818,384,820",Main
420,IPCM,Jasa Armada Indonesia Tbk.,22 Dec 2017,"5,284,811,100",Development
421,IPOL,Indopoly Swakarsa Industry Tbk,09 Jul 2010,"6,443,379,509",Development
422,IPPE,Indo Pureco Pratama Tbk.,09 Dec 2021,"4,600,000,000",Watchlist
423,IPTV,MNC Vision Networks Tbk.,08 Jul 2019,"42,197,950,841",Watchlist
424,IRRA,Itama Ranoraya Tbk.,15 Oct 2019,"1,600,000,000",Development
425,IRSX,Aviana Sinar Abadi Tbk.,07 Feb 2023,"5,000,347,826",Watchlist
426,ISAP,Isra Presisi Indonesia Tbk.,09 Dec 2022,"4,020,075,681",Acceleration
427,ISAT,Indosat Tbk.,19 Oct 1994,"8,062,702,740",Main
428,ISEA,Indo American Seafoods Tbk.,08 Jul 2024,"1,390,000,000",Development
429,ISSP,Steel Pipe Industry of Indones,22 Feb 2013,"7,185,992,035",Main
430,ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,"940,720,000",Development
431,ITMA,Sumber Energi Andalan Tbk.,10 Dec 1990,"999,053,167",Development
432,ITMG,Indo Tambangraya Megah Tbk.,18 Dec 2007,"1,129,925,000",Main
433,JARR,Jhonlin Agro Raya Tbk.,04 Agt 2022,"9,230,665,050",Main
434,JAST,Jasnita Telekomindo Tbk.,16 May 2019,"1,082,575,738",Watchlist
435,JATI,Informasi Teknologi Indonesia ,08 May 2023,"3,262,520,106",Development
436,JAWA,Jaya Agra Wattie Tbk.,30 May 2011,"16,232,951,842",Development
437,JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,"798,499,394",Development
438,JECC,Jembo Cable Company Tbk.,18 Nov 1992,"756,000,000",Development
439,JGLE,Graha Andrasentra Propertindo ,29 Jun 2016,"22,581,909,405",Watchlist
440,JIHD,Jakarta International Hotels &,29 Feb 1984,"2,329,040,482",Development
441,JKON,Jaya Konstruksi Manggala Prata,04 Dec 2007,"16,308,519,860",Main
442,JKSW,Jakarta Kyoei Steel Works Tbk.,06 Agt 1997,"150,000,000",Watchlist
443,JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Dec 2017,"1,000,000,000",Development
444,JPFA,Japfa Comfeed Indonesia Tbk.,23 Oct 1989,"11,726,575,201",Main
445,JRPT,Jaya Real Property Tbk.,29 Jun 1994,"13,750,000,000",Development
446,JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,"2,032,540,000",Watchlist
447,JSMR,Jasa Marga (Persero) Tbk.,12 Nov 2007,"7,257,871,200",Main
448,JSPT,Jakarta Setiabudi Internasiona,12 Jan 1998,"2,318,736,000",Development
449,JTPE,Jasuindo Tiga Perkasa Tbk.,16 Apr 2002,"6,852,050,000",Main
450,KAEF,Kimia Farma Tbk.,04 Jul 2001,"5,566,531,330",Development
451,KARW,Meratus Jasa Prima Tbk.,20 Dec 1994,"587,152,700",Watchlist
452,KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,"665,000,000",Watchlist
453,KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,"7,150,002,603",Watchlist
454,KBLI,KMI Wire & Cable Tbk.,06 Jul 1992,"4,007,235,107",Main
455,KBLM,Kabelindo Murni Tbk.,01 Jun 1992,"1,120,000,000",Development
456,KBLV,First Media Tbk.,25 Feb 2000,"1,742,167,907",Watchlist
457,KBRI,Kertas Basuki Rachmat Indonesi,11 Jul 2008,"8,687,995,734",Watchlist
458,KDSI,Kedawung Setia Industrial Tbk.,29 Jul 1996,"405,000,000",Watchlist
459,KDTN,Puri Sentul Permai Tbk.,09 Nov 2022,"1,250,019,217",Development
460,KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,"3,666,312,500",Main
461,KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,"1,500,000,000",Development
462,KETR,Ketrosden Triasmitra Tbk.,11 Jan 2021,"2,841,262,838",Development
463,KIAS,Keramika Indonesia Assosiasi T,08 Dec 1994,"14,929,100,000",Watchlist
464,KICI,Kedaung Indah Can Tbk,28 Oct 1993,"276,000,000",Development
465,KIJA,Kawasan Industri Jababeka Tbk.,10 Jan 1995,"20,824,888,369",Main
466,KING,Hoffmen Cleanindo Tbk.,16 Feb 2023,"2,600,006,620",Acceleration
467,KINO,Kino Indonesia Tbk.,11 Dec 2015,"1,428,571,500",Development
468,KIOS,Kioson Komersial Indonesia Tbk,05 Oct 2017,"1,075,862,550",Development
469,KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,"500,000,000",Development
470,KKES,Kusuma Kemindo Sentosa Tbk.,08 Agt 2022,"1,500,000,000",Watchlist
471,KKGI,Resource Alam Indonesia Tbk.,01 Jul 1991,"5,000,000,000",Main
472,KLAS,Pelayaran Kurnia Lautan Semest,12 Jun 2023,"2,165,000,000",Development
473,KLBF,Kalbe Farma Tbk.,30 Jul 1991,"46,875,122,110",Main
474,KLIN,Klinko Karya Imaji Tbk.,09 Agt 2022,"1,307,530,330",Acceleration
475,KMDS,Kurniamitra Duta Sentosa Tbk.,07 Sep 2020,"800,000,000",Development
476,KMTR,Kirana Megatara Tbk.,19 Jun 2017,"8,215,366,379",Development
477,KOBX,Kobexindo Tractors Tbk.,05 Jul 2012,"2,272,500,000",Development
478,KOCI,Kokoh Exa Nusantara Tbk.,07 Oct 2023,"4,415,590,000",Development
479,KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008,"980,843,732",Watchlist
480,KOKA,Koka Indonesia Tbk.,11 Oct 2023,"2,861,333,000",Development
481,KONI,Perdana Bangun Pusaka Tbk,22 Agt 1995,"312,000,000",Development
482,KOPI,Mitra Energi Persada Tbk.,04 May 2015,"697,266,668",Development
483,KOTA,DMS Propertindo Tbk.,09 Jul 2019,"10,546,185,701",Watchlist
484,KPAL,Steadfast Marine Tbk.,08 Jun 2018,"1,069,009,400",Watchlist
485,KPAS,Cottonindo Ariesta Tbk.,05 Oct 2018,"768,043,253",Watchlist
486,KPIG,MNC Land Tbk.,30 Mar 2000,"97,557,129,263",Development
487,KRAH,Grand Kartech Tbk.,08 Nov 2013,"971,190,000",Watchlist
488,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,"19,346,396,900",Development
489,KREN,Quantum Clovera Investama Tbk.,28 Jun 2002,"18,208,470,100",Watchlist
490,KRYA,Bangun Karya Perkasa Jaya Tbk.,25 Jul 2022,"1,663,943,474",Development
491,KUAS,Ace Oldfields Tbk.,25 Oct 2021,"1,292,808,150",Development
492,LABA,Ladangbaja Murni Tbk.,10 Jun 2021,"1,103,402,553",Development
493,LABS,UBC Medical Indonesia Tbk.,10 Jul 2024,"3,950,000,000",Development
494,LAJU,Jasa Berdikari Logistics Tbk.,27 Jan 2023,"2,149,942,974",Development
495,LAND,Trimitra Propertindo Tbk.,23 Agt 2018,"2,792,620,000",Watchlist
496,LAPD,Leyand International Tbk.,17 Jul 2001,"3,966,350,139",Watchlist
497,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,"5,630,000,914",Watchlist
498,LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,"1,000,000,000",Development
499,LEAD,Logindo Samudramakmur Tbk.,11 Dec 2013,"4,049,616,328",Development
500,LFLO,Imago Mulia Persada Tbk.,07 Apr 2021,"1,307,734,937",Acceleration
501,LIFE,MSIG Life Insurance Indonesia ,09 Jul 2019,"2,100,000,000",Development
502,LINK,Link Net Tbk.,02 Jun 2014,"2,863,195,484",Development
503,LION,Lion Metal Works Tbk.,20 Agt 1993,"520,160,000",Watchlist
504,LIVE,Homeco Victoria Makmur Tbk.,12 Feb 2024,"4,593,005,014",Development
505,LMAS,Limas Indonesia Makmur Tbk,28 Dec 2001,"787,851,525",Watchlist
506,LMAX,Lupromax Pelumas Indonesia Tbk,09 Agt 2023,"650,007,476",Acceleration
507,LMPI,Langgeng Makmur Industri Tbk.,17 Oct 1994,"1,008,517,669",Watchlist
508,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,"96,000,000",Watchlist
509,LOPI,Logisticsplus International Tb,11 Oct 2023,"1,100,006,714",Acceleration
510,LPCK,Lippo Cikarang Tbk,24 Jul 1997,"2,679,600,000",Main
511,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,"300,000,000",Development
512,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,"425,000,000",Development
513,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,"70,898,018,369",Main
514,LPLI,Star Pacific Tbk,23 Oct 1989,"1,170,432,803",Development
515,LPPF,Matahari Department Store Tbk.,09 Oct 1989,"2,259,292,880",Main
516,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,"2,588,250,000",Development
517,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,"350,000,022",Development
518,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,"6,822,863,965",Main
519,LTLS,Lautan Luas Tbk.,21 Jul 1997,"1,560,000,000",Main
520,LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,"715,749,640",Development
521,LUCY,Lima Dua Lima Tiga Tbk.,05 May 2021,"1,514,773,893",Acceleration
522,MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,"15,365,229,912",Watchlist
523,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,"9,000,000,004",Watchlist
524,MAHA,Mandiri Herindo Adiperkasa Tbk,25 Jul 2023,"16,666,000,000",Main
525,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,"2,238,750,000",Main
526,MAMI,Mas Murni Indonesia Tbk,09 Feb 1994,"12,299,317,590",Watchlist
527,MANG,Manggung Polahraya Tbk.,11 Jan 2024,"3,812,500,000",Acceleration
528,MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,"28,504,000,000",Main
529,MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,"2,387,922,900",Development
530,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,"16,600,000,000",Main
531,MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,"5,252,644,000",Development
532,MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,"3,800,000,310",Main
533,MASA,Multistrada Arah Sarana Tbk.,09 Jun 2005,"9,182,946,945",Watchlist
534,MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,"1,387,737,233",Development
535,MAXI,Maxindo Karya Anugerah Tbk.,12 Jun 2023,"9,610,058,931",Development
536,MAYA,Bank Mayapada Internasional Tb,29 Agt 1997,"25,906,179,152",Main
537,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,"1,227,271,952",Development
538,MBMA,Merdeka Battery Materials Tbk.,18 Apr 2023,"107,995,419,900",Development
539,MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,"1,750,026,639",Main
540,MBTO,Martina Berto Tbk.,13 Jan 2011,"1,070,000,000",Development
541,MCAS,M Cash Integrasi Tbk.,01 Nov 2017,"867,933,300",Main
542,MCOL,Prima Andalan Mandiri Tbk.,07 Sep 2021,"3,555,560,000",Main
543,MCOR,Bank China Construction Bank I,03 Jul 2007,"37,540,533,209",Main
544,MDIA,Intermedia Capital Tbk.,11 Apr 2014,"39,215,538,400",Watchlist
545,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,"24,472,983,771",Main
546,MDKI,Emdeki Utama Tbk.,25 Sep 2017,"2,530,150,002",Development
547,MDLN,Modernland Realty Tbk.,18 Jan 1993,"12,533,067,322",Main
548,MDRN,Modern Internasional Tbk.,16 Jul 1991,"7,632,167,798",Watchlist
549,MEDC,Medco Energi Internasional Tbk,12 Oct 1994,"25,136,231,252",Main
550,MEDS,Hetzer Medical Indonesia Tbk.,10 Agt 2022,"1,562,500,000",Development
551,MEGA,Bank Mega Tbk.,17 Apr 2000,"11,623,514,905",Main
552,MEJA,Harta Djaya Karya Tbk.,12 Feb 2024,"1,917,500,000",Acceleration
553,MENN,Menn Teknologi Indonesia Tbk.,18 Apr 2023,"1,434,052,006",Acceleration
554,MERK,Merck Tbk.,23 Jul 1981,"448,000,000",Development
555,META,Nusantara Infrastructure Tbk.,18 Jul 2001,"17,710,708,194",Development
556,MFIN,Mandala Multifinance Tbk.,06 Sep 2005,"2,650,000,000",Main
557,MFMI,Multifiling Mitra Indonesia Tb,29 Dec 2010,"757,581,000",Watchlist
558,MGLV,Panca Anugrah Wisesa Tbk.,08 Jun 2021,"1,904,883,411",Acceleration
559,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,"3,410,475,462",Watchlist
560,MGRO,Mahkota Group Tbk.,12 Jul 2018,"3,554,445,700",Development
561,MHKI,Multi Hanna Kreasindo Tbk.,16 Apr 2024,"3,750,000,000",Development
562,MICE,Multi Indocitra Tbk.,21 Dec 2005,"600,000,000",Development
563,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,"33,435,294,800",Main
564,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,"14,246,349,500",Main
565,MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,"6,562,500,000",Watchlist
566,MIRA,Mitra International Resources ,30 Jan 1997,"3,961,452,039",Watchlist
567,MITI,Mitra Investindo Tbk.,16 Jul 1997,"3,540,735,503",Development
568,MKAP,Multikarya Asia Pasifik Raya T,12 Feb 2024,"3,250,000,000",Development
569,MKNT,Mitra Komunikasi Nusantara Tbk,26 Oct 2015,"5,500,000,000",Watchlist
570,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,"948,194,000",Development
571,MKTR,Menthobi Karyatama Raya Tbk.,08 Nov 2022,"12,000,125,803",Main
572,MLBI,Multi Bintang Indonesia Tbk.,15 Dec 1981,"2,107,000,000",Main
573,MLIA,Mulia Industrindo Tbk,17 Jan 1994,"6,615,000,000",Main
574,MLPL,Multipolar Tbk.,06 Nov 1989,"15,682,323,987",Main
575,MLPT,Multipolar Technology Tbk.,08 Jul 2013,"1,875,000,000",Development
576,MMIX,Multi Medika Internasional Tbk,06 Dec 2022,"2,400,094,065",Development
577,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,"6,889,134,608",Main
578,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,"15,049,787,710",Main
579,MOLI,Madusari Murni Indah Tbk.,30 Agt 2018,"2,724,036,581",Development
580,MORA,Mora Telematika Indonesia Tbk.,08 Agt 2022,"23,646,668,691",Main
581,MPIX,Mitra Pedagang Indonesia Tbk.,07 Feb 2024,"1,562,500,000",Development
582,MPMX,Mitra Pinasthika Mustika Tbk.,29 May 2013,"4,462,963,276",Main
583,MPOW,Megapower Makmur Tbk.,05 Jul 2017,"816,997,053",Development
584,MPPA,Matahari Putra Prima Tbk.,21 Dec 1992,"12,966,640,084",Main
585,MPRO,Maha Properti Indonesia Tbk.,09 Oct 2018,"9,942,500,000",Development
586,MPXL,MPX Logistics International Tb,09 May 2023,"2,000,014,587",Development
587,MRAT,Mustika Ratu Tbk.,27 Jul 1995,"428,000,000",Development
588,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,"517,791,681",Development
589,MSIE,Multisarana Intan Eduka Tbk.,10 Agt 2023,"1,460,006,450",Acceleration
590,MSIN,MNC Digital Entertainment Tbk.,08 Jun 2018,"12,135,235,641",Main
591,MSJA,Multi Spunindo Jaya Tbk.,10 Jan 2024,"5,882,352,900",Main
592,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,"1,994,370,480",Development
593,MSTI,Mastersystem Infotama Tbk.,08 Nov 2023,"3,138,823,600",Main
594,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,"12,276,884,585",Main
595,MTEL,Dayamitra Telekomunikasi Tbk.,22 Nov 2021,"83,552,719,544",Main
596,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,"31,842,082,852",Watchlist
597,MTLA,Metropolitan Land Tbk.,20 Jun 2011,"7,655,126,330",Main
598,MTMH,Murni Sadar Tbk.,20 Apr 2022,"2,068,526,950",Main
599,MTPS,Meta Epsi Tbk.,10 Apr 2019,"2,084,850,829",Watchlist
600,MTRA,Mitra Pemuda Tbk.,10 Feb 2016,"770,000,000",Watchlist
601,MTSM,Metro Realty Tbk.,08 Jan 1992,"232,848,000",Watchlist
602,MTWI,Malacca Trust Wuwungan Insuran,12 Oct 2017,"2,924,486,639",Development
603,MUTU,Mutuagung Lestari Tbk.,09 Agt 2023,"3,142,874,463",Development
604,MYOH,Samindo Resources Tbk.,27 Jul 2000,"2,206,312,500",Main
605,MYOR,Mayora Indah Tbk.,04 Jul 1990,"22,358,699,725",Main
606,MYRX,Hanson International Tbk.,31 Oct 1990,"86,703,220,792",Watchlist
607,MYTX,Asia Pacific Investama Tbk.,10 Oct 1989,"7,747,281,949",Watchlist
608,NANO,Nanotech Indonesia Global Tbk.,10 Mar 2022,"4,285,216,966",Acceleration
609,NASA,Andalan Perkasa Abadi Tbk.,07 Agt 2017,"11,004,929,322",Watchlist
610,NASI,Wahana Inti Makmur Tbk.,13 Dec 2021,"807,400,000",Development
611,NATO,Surya Permata Andalan Tbk.,18 Jan 2019,"8,001,111,504",Development
612,NAYZ,Hassana Boga Sejahtera Tbk.,06 Feb 2023,"2,550,011,472",Acceleration
613,NCKL,Trimegah Bangun Persada Tbk.,12 Apr 2023,"63,098,600,000",Main
614,NELY,Pelayaran Nelly Dwi Putri Tbk.,11 Oct 2012,"2,350,000,000",Development
615,NETV,Net Visi Media Tbk.,26 Jan 2022,"23,453,177,240",Watchlist
616,NFCX,NFC Indonesia Tbk.,12 Jul 2018,"666,667,500",Development
617,NICE,Adhi Kartiko Pratama Tbk.,09 Jan 2024,"6,082,020,000",Development
618,NICK,Charnic Capital Tbk.,02 May 2018,"651,150,000",Development
619,NICL,PAM Mineral Tbk.,09 Jul 2021,"10,635,644,907",Development
620,NIKL,Pelat Timah Nusantara Tbk.,14 Dec 2009,"2,523,350,000",Development
621,NINE,Techno9 Indonesia Tbk.,05 Dec 2022,"2,157,000,000",Acceleration
622,NIPS,Nipress Tbk.,24 Jul 1991,"1,635,333,332",Watchlist
623,NIRO,City Retail Developments Tbk.,13 Sep 2012,"22,198,871,804",Development
624,NISP,Bank OCBC NISP Tbk.,20 Oct 1994,"22,715,776,032",Main
625,NOBU,Bank Nationalnobu Tbk.,20 May 2013,"7,403,659,460",Development
626,NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,"3,240,235,840",Watchlist
