No,Code,Company Name,Listing Date,Shares,Listing Board
72,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,"3,691,137,517",Main
73,ATAP,Trimitra Prawara Goldland Tbk.,11 Dec 2020,"1,250,000,000",Development
74,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,"2,315,361,355",Development
75,ATLA,Atlantis Subsea Indonesia Tbk.,16 Apr 2024,"6,199,500,000",Development
76,AUTO,Astra Otoparts Tbk.,15 Jun 1998,"4,819,733,000",Main
77,AVIA,Avia Avian Tbk.,08 Dec 2021,"61,953,555,600",Main
78,AWAN,Era Digital Media Tbk.,18 Apr 2023,"3,435,000,000",Development
79,AXIO,Tera Data Indonusa Tbk.,20 Jul 2022,"5,840,126,500",Main
80,AYAM,Janu Putra Sejahtera Tbk.,30 Nov 2023,"4,000,000,000",Development
81,AYLS,Agro Yasa Lestari Tbk.,12 Feb 2020,"853,423,236",Development
82,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,"44,014,333,126",Development
83,BABY,Multitrend Indo Tbk.,07 Sep 2023,"2,668,586,400",Development
84,BACA,Bank Capital Indonesia Tbk.,04 Oct 2007,"19,753,494,636",Main
85,BAIK,Bersama Mencapai Puncak Tbk.,15 Feb 2024,"1,125,000,000",Development
86,BAJA,Saranacentral Bajatama Tbk.,21 Dec 2011,"1,800,000,000",Development
87,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,"3,934,592,500",Main
88,BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,"14,621,932,740",Main
89,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,"661,784,520",Development
90,BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,"5,591,980,103",Watchlist
91,BATA,Sepatu Bata Tbk.,24 Mar 1982,"1,300,000,000",Development
92,BATR,Benteng Api Technic Tbk.,10 Jun 2024,"3,025,000,000",Development
93,BAUT,Mitra Angkasa Sejahtera Tbk.,28 Jan 2022,"4,800,138,078",Watchlist
94,BAYU,Bayu Buana Tbk,30 Oct 1989,"353,220,780",Development
95,BBCA,Bank Central Asia Tbk.,31 May 2000,"122,042,299,500",Main
96,BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,"21,512,953,877",Main
97,BBKP,Bank KB Bukopin Tbk.,10 Jul 2006,"185,819,884,852",Main
98,BBLD,Buana Finance Tbk.,07 May 1990,"1,645,796,054",Development
99,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,"4,049,189,100",Development
100,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,"36,924,339,786",Main
101,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,"150,043,411,587",Main
102,BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,"8,479,490,328",Development
103,BBSI,Krom Bank Indonesia Tbk.,07 Sep 2020,"3,637,976,068",Development
104,BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,"4,800,016,020",Development
105,BBTN,Bank Tabungan Negara (Persero),17 Dec 2009,"13,894,099,969",Main
106,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,"11,918,427,523",Main
107,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,"42,618,850,927",Watchlist
108,BCIC,Bank JTrust Indonesia Tbk.,25 Jun 1997,"17,926,071,041",Development
109,BCIP,Bumi Citra Permai Tbk.,11 Dec 2009,"1,429,915,525",Development
110,BDKR,Berdikari Pondasi Perkasa Tbk.,03 Mar 2023,"4,725,101,522",Main
111,BDMN,Bank Danamon Indonesia Tbk.,06 Dec 1989,"9,675,817,341",Main
112,BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,"45,000,000,000",Watchlist
113,BEEF,Estika Tata Tiara Tbk.,10 Jan 2019,"7,031,371,419",Development
114,BEER,Jobubu Jarum Minahasa Tbk.,06 Jan 2023,"4,000,000,000",Development
115,BEKS,Bank Pembangunan Daerah Banten,13 Jul 2001,"51,351,733,883",Watchlist
116,BELI,Global Digital Niaga Tbk.,08 Nov 2022,"123,210,496,616",Ekonomi Baru
117,BELL,Trisula Textile Industries Tbk,03 Oct 2017,"7,250,000,000",Development
118,BESS,Batulicin Nusantara Maritim Tb,09 Mar 2020,"3,440,455,528",Development
119,BEST,Bekasi Fajar Industrial Estate,10 Apr 2012,"9,647,311,150",Main
120,BFIN,BFI Finance  Indonesia Tbk.,16 May 1990,"15,967,115,620",Main
121,BGTG,Bank Ganesha Tbk.,12 May 2016,"23,731,287,132",Development
122,BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,"5,000,000,000",Development
123,BHIT,MNC Asia Holding Tbk.,24 Nov 1997,"86,068,156,705",Watchlist
124,BIKA,Binakarya Jaya Abadi Tbk.,14 Jul 2015,"592,280,000",Watchlist
125,BIKE,Sepeda Bersama Indonesia Tbk.,21 Mar 2022,"1,293,916,404",Development
126,BIMA,Primarindo Asia Infrastructure,30 Agt 1994,"608,175,716",Development
127,BINA,Bank Ina Perdana Tbk.,16 Jan 2014,"6,073,369,498",Main
128,BINO,Perma Plasindo Tbk.,25 Nov 2021,"2,175,020,404",Development
129,BIPI,Astrindo Nusantara Infrastrukt,11 Feb 2010,"63,710,196,917",Development
130,BIPP,Bhuwanatala Indah Permai Tbk.,23 Oct 1995,"5,028,669,376",Watchlist
131,BIRD,Blue Bird Tbk.,05 Nov 2014,"2,502,100,000",Main
132,BISI,BISI International Tbk.,28 May 2007,"3,000,000,000",Main
133,BJBR,Bank Pembangunan Daerah Jawa B,08 Jul 2010,"10,416,229,249",Main
134,BJTM,Bank Pembangunan Daerah Jawa T,12 Jul 2012,"14,865,343,101",Main
135,BKDP,Bukit Darmo Property Tbk,15 Jun 2007,"7,513,992,252",Development
136,BKSL,Sentul City Tbk.,28 Jul 1997,"167,708,902,705",Watchlist
137,BKSW,Bank QNB Indonesia Tbk.,21 Nov 2002,"34,953,681,505",Watchlist
138,BLES,Superior Prima Sukses Tbk.,08 Jul 2024,"8,890,206,400",Main
139,BLTA,Berlian Laju Tanker Tbk,26 Mar 1990,"25,940,187,103",Watchlist
140,BLTZ,Graha Layar Prima Tbk.,10 Apr 2014,"873,937,142",Development
141,BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,"418,000,000",Development
142,BMAS,Bank Maspion Indonesia Tbk.,11 Jul 2013,"17,921,635,680",Development
143,BMBL,Lavender Bina Cendikia Tbk.,11 Jan 2023,"1,030,080,995",Acceleration
144,BMHS,Bundamedik Tbk.,06 Jul 2021,"8,603,416,176",Main
145,BMRI,Bank Mandiri (Persero) Tbk.,14 Jul 2003,"92,399,999,996",Main
146,BMSR,Bintang Mitra Semestaraya Tbk,29 Dec 1999,"1,159,200,024",Development
147,BMTR,Global Mediacom Tbk.,17 Jul 1995,"16,583,997,586",Main
148,BNBA,Bank Bumi Arta Tbk.,01 Jun 2006,"3,354,120,000",Development
149,BNBR,Bakrie & Brothers Tbk,28 Agt 1989,"160,057,457,509",Watchlist
150,BNGA,Bank CIMB Niaga Tbk.,29 Nov 1989,"24,890,783,784",Main
151,BNII,Bank Maybank Indonesia Tbk.,21 Nov 1989,"75,357,433,911",Main
152,BNLI,Bank Permata Tbk.,15 Jan 1990,"35,819,545,925",Development
153,BOBA,Formosa Ingredient Factory Tbk,01 Nov 2021,"1,155,750,000",Development
154,BOGA,Bintang Oto Global Tbk.,19 Dec 2016,"3,803,526,210",Development
155,BOLA,Bali Bintang Sejahtera Tbk.,17 Jun 2019,"6,000,000,000",Main
156,BOLT,Garuda Metalindo Tbk.,07 Jul 2015,"2,343,750,000",Development
157,BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,"1,400,000,000",Watchlist
158,BPFI,Woori Finance Indonesia Tbk.,01 Jun 2009,"2,673,995,362",Development
159,BPII,Batavia Prosperindo Internasio,08 Jul 2014,"10,309,973,240",Development
160,BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,"3,534,000,000",Development
161,BRAM,Indo Kordsa Tbk.,05 Sep 1990,"450,056,980",Development
162,BREN,Barito Renewables Energy Tbk.,09 Oct 2023,"133,786,220,000",Main
163,BRIS,Bank Syariah Indonesia Tbk.,09 May 2018,"45,667,877,639",Main
164,BRMS,Bumi Resources Minerals Tbk.,09 Dec 2010,"141,784,040,338",Main
165,BRNA,Berlina Tbk.,06 Nov 1989,"979,110,000",Watchlist
166,BRPT,Barito Pacific Tbk.,01 Oct 1993,"93,747,218,044",Main
167,BSBK,Wulandari Bangun Laksana Tbk.,08 Nov 2022,"25,091,882,375",Main
168,BSDE,Bumi Serpong Damai Tbk.,06 Jun 2008,"21,171,365,812",Main
169,BSIM,Bank Sinarmas Tbk.,13 Dec 2010,"19,517,921,842",Main
170,BSML,Bintang Samudera Mandiri Lines,16 Dec 2021,"1,850,225,000",Development
171,BSSR,Baramulti Suksessarana Tbk.,08 Nov 2012,"2,616,500,000",Development
172,BSWD,Bank Of India Indonesia Tbk.,01 May 2002,"3,651,978,177",Watchlist
173,BTEK,Bumi Teknokultura Unggul Tbk,14 May 2004,"46,277,496,376",Watchlist
174,BTEL,Bakrie Telecom Tbk.,03 Feb 2006,"36,822,665,755",Watchlist
175,BTON,Betonjaya Manunggal Tbk.,18 Jul 2001,"720,000,000",Watchlist
176,BTPN,Bank BTPN Tbk.,12 Mar 2008,"10,536,203,690",Main
177,BTPS,Bank BTPN Syariah Tbk.,08 May 2018,"7,626,663,000",Main
178,BUAH,Segar Kumala Indonesia Tbk.,09 Agt 2022,"1,000,000,000",Development
179,BUDI,Budi Starch & Sweetener Tbk.,08 May 1995,"4,498,997,362",Main
180,BUKA,Bukalapak.com Tbk.,06 Agt 2021,"103,108,797,367",Ekonomi Baru
181,BUKK,Bukaka Teknik Utama Tbk.,29 Jun 2015,"2,640,452,000",Development
182,BULL,Buana Lintas Lautan Tbk.,23 May 2011,"14,117,801,449",Development
